,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
13,si,su hermano grita mucho,su papa es de pelos,es paja y la puedes hacer bola y puedes jugar con ella a patearla,suave y delicada,son muchos colores y huelen bien,de carne humana,bonita y alegre,se celebra,una pregunta,ojos bonitos,no  porque nadie puede tener ojos de miel,collares bonitos,porque los collares si son de perlas,escobas que barren bien,no porque una escoba no puede ser de cristal,comida con mucha sal,si porque una comida si puede quedar salada,sus abrazos son suaves,si es posible,lápiz que no tiene sabor,no es posible,que los hornos cuentan y se acercan al número 1,si es posible,que el tren va a muchos lugares,si es posible,que los días se acercan,si es posible
14,si es algo significativo o algo,que grita mucho y no para de reír,perro porque es muy peludo,que es muy valioso,es muy suave,bonitas huelen bien,rojos,bonita feliz amorosa,tardan mas los días,0,no puede tener ojos de miel,porque te arden los ojos,que es muy bonito el collar,porque si puedes usarlos,se romperían,no aguantarían,algo muy salado,se pueden pasar de sal,un abraso amoroso,un abraso de un familiar,no puede haber lápiz de sabor,no pueden ponerle sabor,no pueden moverse,porque no pueden caminar,si puede viajar,con vapor,no pueden correr,no caminan ni corren
15,si porque va diciendo todo con la frase pelota,que su hermano es chillón,significa que su papa es porque son peludos,que la pelota no seria la luna,que es color blanca,que las flores son amarillas,que tienen frio,que esta caliente,por que el año tiene muchos días,que los segundos son muy rápidos,que los ojos son amarillos,porque nadie puede tener ojos amarillo,un collar echo de perlas,porque e visto muchos collares de perlas,una escoba de cristal,porque como arias la forma de la escoba,como el poyo salado,porque ay algunas comidas que usan sal,que te abrasa suave,porque si abrasas suave o fuerte,que los lapices no tienen,porque los lapices no tienen sabor,que los hornos tienen vida,que los horno tuvieran vida,que el tren va a lugares,significa que viaja a muchos lugares,que los días van rápido,que los minutos y las horas van rápido
16,no porque como que no se escucha bien,que grita mucho,gato porque tiene pelos,mama es una pelota de plata,de papel,de oro,fríos,tibia,va muy lento,que los segundos pasan rápido,que no podemos tener ojos de miel,no es posible tener ojos de miel,si se puede tener,si es posible tener collares de perla,no puede haber escobas de cristal,no es posible tener escobas de cristal,si puede tener comida salada,si es posible tener comida salada,que nos dan un abrazo suave,porque si nos pueden dar un abrazo suave,que no hay lápiz sin sabor,porque no hay lápiz sin sabor,si se pueden acercar,si se pueden acercar los hermanos,si viaja el tren,si puede viajar el tren,si si corren,si si pueden correr los días
17,no porque no no tiene vida y no tiene boca,que grita mucho,que esta buena esta de pelos,que esta hecha de plata y es pesada,suave y color carne,con hojas de oro,fríos,muy hermosa,los días van lentos,que no esperan a nadie y van rápido,que ninguna persona tiene ojos de miel o color miel,no hay ojos de miel o color miel,que si hay collares de perlas,si hay collares con perlas,porque al barrer se rompen o que se caiga,no porque no barrieran nada y a la primera caída se rompen,si cuando le pones mucha sal ,le pones mucha sal y listo,que te lo dan suave y no te aprietan,si no te lo dan tan fuertes,es dulce,si porque hay de dulce,no tienen pies y no están vivos,no están vivos,obvio tiene motor y avanza,si por que tiene motor para que avance,que el tiempo avanza rápido,si porque el tiempo avanza y no espera a nadie
18,no porque no rima,lenguaje literal,mi perro es una pelota de pelos,lenguaje literal,color carne suave y delgada,bonitas de colores y huelen bonito,los corazones son fríos y ruidosos,alegre y bonita,el año corre muy rápido,que los minutos vuelan,no porque no poderías ver,por que se te pegarían los ojos,porque se vería brillante,porque le lucería mas,porque se rompería,por que se rompería con las piedras,por te empalaga,no porque no supiera buena,por los brazos,porque los brazos están suaves,porque no es dulce,y porque es de madera,porque no caminan,y no tienen pies,si por que viaja a lugares,y viaja con pasajeros,que los días vuelan,los días se van de volada
19,no si no todas las pelotas estuvieran cantando,que mi hermano esta gritando,mi primo tiene pelos,mi papa es de plata,que se puso papel,las flores son ramas de oro,los corazones son rojos,que tienes una sonrisa caliente,el año va muy lento,que los segundos van muy rápido,que no podemos tener ojos de miel,no es posible,que un collar tiene perlas,si es posible,una escoba con cristal,no es posible,que le pones mucha sal,si es posible,que nos dan un abraso suave,si es posible,el lápiz tiene un sabor a madera,no es posible,que nos quieren comer,no es posible,el tren pasa por personas,si es posible,los días pasan rápido,si es posible
20,no porque no tienen boca,que es griton,una cabeza porque tiene pelos,es la luna porque es plateada,suave,hermosas,sentimentales,alegre,se acaba para empezar otro,que pasan muy rápido,ojos dulces,por que puedes tener ojos de miel,collares hermosos,se puede hacer collares de diferentes variedades,escoba única,por que se rompería al barrer,que tiene mucha sal,por que ay comida salada,abrazos delicados,por que ay barios tipos de abrazos,que no pinta,por que los lapices no se comen,que tiene un orno cerca,por que los hornos no caminan,que va de un lugar a otro,por que ellos pueden ir a todos lados,que los días pasan rápido,por que los días no tienen pies
21,no porque no puede ser mi mama una pelota que canta,mi hermano es una pelota que grita mucho,mi cabeza tiene mucho cabello,el mar es una pelota de plata,suave y lisa,muy caras si las venden,como si estuvieran en el refrigerador,sonrisa muy bonita,pasan los meses muy lento,los segundos son rápidos,las personas no tienen ojos de miel,pueden tener ojos color miel pero no de miel,venden en tiendas los collares,por que pueden venderlas en las tiendas grandes,no pueden ser de cristal,no pueden si se te cae se va a quebrar,si cuando se te pasa la mano y le hechas sal,si cuando te pasas de sal te queda muy salada,cuando te abrazan,cuando te abraza tu mama,no tienen sabor,no pueden tener sabor los lapices,no caminan,los hornos no tienen pies,viaja a lugares,si tienen ruedas y viajan,pasan los días,si pasan los días
22,si porque a cada rato canta,porque cuando no le dan algo se enoja y empieza a gritar,porque esta lleno de pelo de la cabeza hasta la cola,mi mama vale mucho como si fuera plata,suave,con pétalos y un palo,rojos y fríos,muy hermosa,que es muy lento,que se va rápido,porque los ojos no pueden ser de miel,pon que si puede ser muchas cosas buenas y no,porque si hay collares de perlas,0,0,0,0,0,por los brazos,porque los brazos están suave,porque los lápices no se puede comer,porque los lapices son duros,porque no caminan,porque no viven,por que tienen vías,por que viaja muchos kilómetros,porque se pasa,por que los días corren
23,no porque las pelotas no cantan,que su hermano grita mucho,perro porque tiene pelos,0,que es lo que tenemos en el cuerpo,son unas plantas que huelen muy bien,un corazón es como dar cariño y amor,es cuando algo nos hace reír,el año es demasiado lento,que el tiempo va muy rápido,que tus ojos sen amarillos,porque no ay ojos de miel,que los collares tienen perlas,si es posible que ay collares de perlas,que tu escoba esta limpia,no ay escobas de cristal porqué no se puede hacer una,que la comida esta salada,si es posible que la comida este salada,0,0,0,0,0,0,0,0,0,0
24,si es como me dijeron mi mama canta,mi hermano grita mucho,mi abuelito es una pelota de pelos,el mar es una pelota de plata,es color blanco,encantadoras y con un color de oro,un corazón muy despistado,una sonrisa calentita,un año largo y aburrido,que los segundos pasan rápido,que tienes ojos de color oro,no por que ya naciste con unos ojos de color,un collar de piedras,no porque es muy caro comprar,una escoba muy valiosa,no porque puedes ser muy difíciles de construir,una comida coon mucha sal,si puede pasarle la sal a algo,un abraso cálido,si alguien puede estar feliz,un lápiz desabrido,no porque no hay lapices de sabor,los hornos están a punto,por que no caminan,el tren se pasa,el tren te lleva a una estación,los días pasan volando,si por que los días se pasan rápido
25,0,0,0,0,0,0,0,0,0,0,ojos dulces,porque no es imposible tener ojos de miel,joyas,porque son joyas brillantes,escoba bonita,no es imposible que haya escobas de cristal,comida mu salada,no es imposible que haya comida salada,0,0,si hay lápiz sin sabor,que si hay lápiz sin sabor,0,0,0,0,0,0
26,no se canta no tiene sentido,es como cuando grita mucho muy fuerte,puede ser como una pelota de pelos porque puede ser así,esta como hecha de plata y de nada mas,es como puro papel bonito,muy lindas y tienen olor muy fresco,muy bonitos y muy especiales,sonrisa es muy bonita hay que sonreír siempre,que luego hay muchos accidentes en el año,los segundos vuelan,es como,la gente puede tener sus ojos de cualquier forma,porque,hay gente que tiene collares de perlas,si pode,mostrar escobas de cristal,si puede haber,comida salada se pasan de sal,si se pu,han de dar abras su aves,si puede,haber lápiz sin borrador,si se pu,han de acercar,si vía,ja porto dos lados,si corro,en todos los días
27,si porque si,que grita mucho,hamster porque tiene pelo,perro,de papel,de oro,grandes,bonita,va muy lento,que se pasan rápido,que son bonitos,porque nadie los tiene,si es posible,porque algunos usan,porque no asen,porque nadie tiene escobas de cristal,siat,las papas son saladas,no apretarlos,si se puede,porque si,porque son de madera,porque no,un orno no se puede acercar,porque si,porque usa carbón,porque si,porque se van muy rápido
28,no porque nomas son pelotas,no grita porque no es como su hermano,es buena,una pelota de pelos,la piel es morena y güera,no hay flores de oro,los corazones son color rojo,es mas o menos sonriente,el año a cambiado de horarios,que los segundos van muy rápido,que no hay persona que tenga los ojos color miel,porque no hay ojos color miel porque ni modo que los tenga,si hay collares y perlas si es verdad,si existen los collares de perlas y de cristal,no hay escoba de cristal falso,no existe si no al barrer se caería,si existe la comida salada,si existe por si a alguien se pasa de sal existe una comida así,porque te lo puede dar quedito,si es imposible porque si te puede dar abrazos suaves,si porque luego venden unos de dulce,si es imposible porque luego hay de dulce,no se puede porque no se mueven,no es imposible porque no se mueven no caminan los hornos,si viaja porque avanza,si es imposible porque si avanza,si porque se acaban los días rápido,si es imposible porque se van los días rápido
29,si porque alguien se expresa con anhelo,que se asusta siempre o es muy enojona y grita mucho de furia,0,0,que es de papel,que es de oro,que no tiene piedad,que tiene labios,que se te hace muy largo el año,que no debes perder el tiempo,niño no tiene ojos de miel,porque ninguno tiene ojos de miel,porque las perlas salen de las almejas,porque si existen las perlas,que no hay escobas de cristal,porque si no se rompería muy fácil,que la comida salio salada,porque le echan mucha sal,que todos abrasan,porque todos abrazan,no puede haber lápiz sin sabor,no porque sabría a madera y grafito,los horno no se acercan,porque no se acercan,todos los trenes viajan,si existen los trenes,0,0
30,no porque mi mama no canta,es llorón y es pelota de gritos,las cabezas de los demás,es una moneda es de plata pelota de plata,de papel,de oro,fríos,tibia,va muy lento,el tiempo es rápido,ojos rellenos de miel,no puede haber ojos llenos de miel,collares de perlas son valiosos,si puede haber collares valiosos como perlas y oro,escobas hechas de cristal,no puede haber escobas de cristal no se barrería bien el cristal se rompe,comida que sabe demasiado a sal,la comida salada si es posible con mucha sal esta,dar abrazos suaves y muy despacito,se puede dar abrazos despacio y suaves,lápiz que no tiene sabor,que los lápiz no tiene sabor entonces el lápiz sin sabor,los hornos que caminan,por que los hornos no pueden caminar,que el tren avanza,el tren si puede correr y avanzar por las vías,los días pasan,si porque es día tras día y corren
31,si porque si rima,que su hermano grita mucho,perro porque tiene muchos pelos,pues fierro,es muy suave,doradas y valen mucho para nosotros,que no les importan de lo que pasen,que esta triste,que sientes que va muy rápido el año,que pasan muy rápido,que se parece color miel,porque si pueden haber ojos color miel,que si con las pelas se collares,si pueden haber collares de perlas,que si puede haber escobas de cristal,no hay porque se rompería al barrer,que si hay comida salada,si hay porque luego se puede pasar sal,si hay abrazos suaves,si hay abrazos suaves,si hay lápiz sin sabor,si existe lápiz sin sabor,no se puede acercar,no se pueden acercar,si el tren viaja,si viaja el tren muy rápido,si corre,si corren los días
32,no porque las pelotas solo se mueven,mi hermano grita mucho,un gato porque sacan bolas de pelo,0,de papel,color dorados,fríos,muy blanda,pasa muy lento,lo segundos son muy rápidos,tiene unos ojos café muy claro,no casi nadie los tiene amarillos,un collar con perlas,si se encuentran muchos,una escoba de hermoso cristal,no seria muy costosa,comida con mucha sal,mucha gente lo puede hacer así,un abraso suave,muchos abrazan muy suave,los lapices no se comen,los lapices no son comestibles,no los hornos no caminan,los hornos no caminan,el tren va a lugares,todos los trenes viajan,los días pasan volando,los días pasan volando
33,0,que bota,la pelota de picos,que vale oro,el papel es como la piel,flores que huelen muy bien,que no tienes sentimientos,que es media sonrisa,es muy lento,que los segundos pasan de volada,ojos hermosos,si es posible porque a los ojos le puedes decir varias cosas lindas,collares lindos,si collares son lindos y le gustan le puedes decir varias cosas,solo escoba,no so es una escoba,la comida esta agria,si la comida le pueden echar mucha sal,brazos como nubes,si por que a beses los siente calientes,0,0,0,0,que el tren corre a sus direcciones,si el tren puede ir a tu destino,los días pasan,si los días siguen
34,si porque su mama canta,que su hermano siempre esta gritando,es su perro porque tiene mucho pelo,0,delicada,de colores,rojos,blanca y alegre,son 12 meses y pasa lento,que van muy rápido,que tiene ojos amarillos,es posible porque tiene ojos amarillos,es collar de perlas,es posible porque las mujeres lo usan,no tiene sentido,0,la comida esta salada,es posible porque le echaron mucha sal,es un abrazo,si porque te dan un abrazo y te gusta,un lápiz chupado,no porque no tiene sabor,no tiene sentido,0,el tren te transporta,si porque el tren te lleva a diferentes lugares,los días pasan,si los días pasan rápido
35,si porque es cantada en todo,porque grita mucho,chango porque tiene pelos,0,0,bonitas,como tus puños,dulce,no estas cansada,que haces algo a diario y se te el tiempo,0,por que si los tendrías de miel no podrías ver,0,si por que las perlas si existen,el vidrio se rompe bien fácil,no porque se rompe la escoba,de diferente comida y salada,si por que hay de diferentes comidas con sal,te dan un abraso con mucho sentimiento,porque te dan un abraso suavemente,el lápiz no es agua de sabor,por que el lápiz no es agua de sabor,no tienen pies,por que no tienen pies,si puede viajar por sus ruedas,por que tienen ruedas y vías del tren,que cada 24 horas cambia el día,por que cada 24 horas cambia un día
36,no porque no puedo encontrar el ritmo del poema,que es aburrido,mi cabello porque se la pasa enredado,la luna porque es de color plata en la noche y día,suave,con buen olor,felices,bonita,se pasa a otro,que todo es rápido,tus ojos están dorados,por que la miel es dorada y si lo creí posible,tu collar es un color muy blanco,por que las perlas son muy blancas y hermosas,0,0,tu comida se excedió con la sal,que no era tan posible digerir tanta sal a la vez,que tiene un don para abrazar,porque abrazos suaves es como un don para abrazar,el lápiz no tiene sabor es de madera,la madera no sabe a casi nada,cuando algo sale de tu orno se mueve,el horno se mueve cada que saco algo de ahí,que el tren puede llegar algún lugar,el tren se puede ir y llegar en minutos,que los días pasan muy rápido,que nunca es lento el día
37,si a sentido figurado podría ser una radio,que su hermano siempre o la mayoría de veces grita o llora,uno mismo por no cortarse el pelo,como las estrella brillan y la plata refleja la luz como una estrella,la del ser humano es frágil como el papel,por que una flor es como el oro,órgano que palpita sangre a todo el cuerpo y la frase significa que no sienten,una expresión del cuerpo significa una sonrisa que siente calentita,el año es un unidad de medida la oración dice que siente que el tiempo va muy lento,que se te entretienes en algo que te guste pasara mas rápido el tiempo,que tus ojos parecen como la dulce miel,si porque es una comparación de unos ojo bonitos con la miel,literal un collar echo de perlas figurado tus dientes son como perlas,si porque tiene tanto un sentido figurado como literal,una niña frágil,porque es una comparación,algo que tiene demasiada sal,0,que sientes los abrazos muy bien como almohadas,si porque es una comparación,que el lápiz es muy tenue,esta comparando que el lápiz no pinta muy bien,que viene el calor,si porque están comparando el calor de horno con el calor,que el tren esta en movimiento,si porque esta diciendo que esta avanzando,pasan muy rápidos los días,si porque también es una comparación
38,si porque si da sentido eso de pelotas,porque su hermanito es pequeño y grita por eso,seria una pelota hecha de pelos,seria un trofeo,de color carne,son pequeñas,de color rojo,es solo una sonrisa,por que no hay nada de actividades,que cada segundo cuenta,de que tiene ojos pegajoso,por que si tuviéramos ojos de miel serían muy pegajosos,de ese collar las perlas fueron de conchas,el collar de perlas es lo mas costoso,porque no hay tal cosa de escoba de cristal,no puede existir tal cosa de cristal,de que a la comida le ponen mucha sal,si solo le ponen mucha sal ala comida,de que no te aprietan al darte un abrazo,porque si te da un abrazo no te aprietan,por que no hay lápiz con sabor,no hay tal cosa que lápiz sin sabor,solo quiere decir que se acerca la temporada,solo dice que se acerca su temporada,si de que viaja el tren,a cualquier parte del mundo,por hacer actividades,al hacer cualquier cosa
39,si cuando una persona canta,cuando un hermanito grita porque quiere algo,un gato,se refiere a la luna,blanca y transparente,hermosas y ricas,felices y fríos,feliz y alegre,que va rápido,que el tiempo pasa rápido,ojos hechos de miel,por que la miel no es moldeable,collares con perlas,por que cuando recolectan las perlas hacen los collares,una escoba hecha de cristal,funden el cristal y lo ponen en un molde de escoba,comida con mucha sal,cuando hacen comida le echan mucha sal,cuando alguien le da un abrazo,cuando chica tiene afecto de ti y te abraza,lapices que no tienen sabor,por que los lápiz nunca tienen sabor,que los hornos van a ti,los hornos están hecho para calentar no para acercare,cuando un tren va de una estación a otra,por que los trenes tienen que ir de una estación a otra,cuando cierras los ojos otro día sale,cuando note das cuenta que parpadeas inicia otro día
40,no porque las pelotas no cantan,que grita mucho,un gato porque tiene muchos pelos,la pelota es dura y brillante,delgada,brillantes,negros,intermedia,esta aburrido,se pasa muy rápido el tiempo,ojos bonitos,por que cada humano tenemos ojos diferentes,collar brillante,porque hay collares de perlas,escoba muy brillante,no por que nomas hay de madera,mucha sal en la comida,si por que a veces se nos pasa y le echamos mucha sal,un abrazo tierno,si por que un abrazo suave se da con amor,no por que el lápiz no tiene sabor,el lápiz no tiene sabor,no por que los hornos no caminan,los hornos no caminan,si por que va de un lado a otro,si porque lleva personas y objetos,si porque las horas pasan,si es cono dicen el tiempo se va volando
41,si porque es un juguete para rebotar rodar y aventar,si porque siempre chilla,para un perro,porque es una pelota boliche,es como un pizarrón,es como un brillo,cuando alguien le congelan el corazón,son cuando casi son tristes,por que es un reloj,cuando un segundo va a volver,una frase que enamora,si es posible porque es como un poema de amor,es como un poema,si porque las palabras tienen amor,es como un poema,si porque las palabras tienen amor,es como una comida,si porque se puede comer con atún,si es como un cariño,si por que cuando llega un tío nuevo lo abrasas,0,0,no hornos,no se pueden acercar,un tren,si viaja por ciudades,días,por que como ya a parece todo jodido el día
42,si porque suena muchas veces,que esta gritando todo el día,el sol porque es redondo,que brilla,rosa y suave,bonitas y pequeñas,rojos como una rosa,alegre y hermosa,porque va muy lento,que se van rápido las horas,0,porque no puedes tener ojos de miel,0,collares los que usan las duquesas,0,no se puede tener una escoba de cristal,0,si como el jamón y el queso,significa una felicidad,0,0,0,no se pueden mover,los hornos calientan cosas,0,se mueve muy rápido,0,si pero lentos
43,si porque canta,porque las hermanas por todo se enojan,que son pelotas cualquiera,es una abuela,débil,brillan,no siento nada,débil,es despacio,0,que son ojos de miel,porque no es posible,que son collares de perlas,porque no es posible,que son escopeta de cristal,porque no es posible,que es comida saludable,porque no es posible,que son abrazos suaves,porque si es posible,que son lápiz sin sabor,por que no es posible,que son los hornos se acercan,porque no es posible,que el tren viaja,porque no es posible,que los días pasan corriendo,porque si es posible
