,por_que_pelota_que_canta_count,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count,que_otra_cosa_podria_ser_una_pelota_de_pelos_count,explica_tu_respuesta_en_la_frase_pelota_de_plata_count,c1t_count,c2t_count,c3t_count,c4t_count,c5t_count,c6t_count,que_significa_1_count,por_que_crees_que_si_o_no_es_posible_1_count,que_significa_2_count,por_que_crees_que_si_o_que_no_es_posible_2_count,que_significa_3_count,por_que_crees_que_si_o_que_no_es_posible_3_count,que_significa_4_count,por_que_crees_que_si_o_que_no_es_posible_4_count,que_significa_5_count,por_que_crees_que_si_o_que_no_es_posible_5_count,que_significa_6_count,por_que_crees_que_si_o_que_no_es_posible_6_count,que_significa_7_count,por_que_crees_que_si_o_que_no_es_posible_7_count,que_significa_8_count,por_que_crees_que_si_o_que_no_es_posible_8_count,que_significa_9_count,por_que_crees_que_si_o_que_no_es_posible_9_count,suma_total
66,1,2,1,2,1,1,3,2,1,3,2,1,1,2,0,2,3,3,1,1,1,1,1,1,1,3,1,1,43
67,7,3,1,7,13,7,5,5,8,5,4,7,6,9,4,6,5,4,4,6,5,7,4,4,2,4,6,6,154
68,5,4,2,3,1,3,1,1,2,5,4,8,6,8,2,3,3,5,3,4,0,5,0,5,4,5,4,7,103
69,4,3,4,4,5,1,1,2,1,7,6,13,10,10,6,6,3,14,5,8,4,8,6,7,3,4,5,6,156
70,32,19,3,50,3,21,12,6,11,12,18,28,12,22,1,11,3,14,4,10,4,15,10,15,8,7,7,12,370
71,9,4,2,7,2,2,1,1,1,3,5,3,4,6,3,7,3,7,5,8,6,5,4,4,4,7,7,6,126
72,5,7,8,21,1,1,2,1,1,6,7,13,1,3,0,3,3,9,6,3,5,2,0,0,4,1,17,9,139
73,6,13,2,4,3,1,3,3,4,8,2,9,5,10,0,8,5,14,10,3,4,8,5,6,2,8,5,5,156
74,9,7,2,3,2,6,2,9,9,8,5,8,5,3,4,10,2,7,3,7,3,6,0,0,4,6,4,11,145
75,3,3,2,0,1,1,5,1,4,2,2,6,0,0,9,2,6,4,0,0,5,5,5,3,2,4,3,10,88
76,3,4,2,5,2,1,4,1,2,3,2,1,7,4,7,8,3,6,3,1,1,1,3,0,0,0,0,0,74
77,5,3,2,3,6,1,4,4,4,2,5,11,4,2,0,3,5,3,3,5,0,0,0,0,0,0,6,4,85
78,4,6,2,7,6,4,5,4,2,3,5,3,2,1,0,0,2,3,2,2,0,0,5,2,1,1,3,0,75
79,5,4,2,4,2,1,1,1,2,4,4,5,0,5,4,9,3,4,6,3,3,9,1,5,1,5,1,5,99
80,7,4,5,9,4,4,5,4,8,6,5,13,4,15,5,8,7,5,5,7,2,8,6,6,3,10,3,7,175
81,9,5,2,8,5,2,5,2,3,6,8,6,5,7,5,6,5,6,5,6,6,5,5,6,8,6,4,21,167
82,4,6,3,7,2,1,5,5,1,4,4,4,5,3,0,4,3,2,2,0,2,2,3,2,1,1,3,0,79
83,5,6,1,10,1,1,1,1,3,5,6,5,6,7,0,2,10,8,5,13,5,8,0,9,5,5,5,6,139
84,9,5,2,4,1,1,1,2,2,5,2,4,4,9,0,0,4,1,2,3,0,7,4,5,3,7,4,6,97
85,5,3,2,5,10,2,3,3,3,7,14,6,7,1,0,0,5,1,1,2,3,1,6,3,4,2,5,5,109
86,8,4,7,6,2,12,4,2,10,3,2,6,2,3,0,0,2,9,2,3,0,0,1,8,4,5,2,5,112
87,4,2,1,0,0,2,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
88,3,4,2,0,1,1,2,1,5,4,2,1,3,1,8,1,5,1,6,1,5,1,0,1,4,1,5,1,70
89,4,4,2,6,1,3,5,5,3,6,8,4,0,0,0,4,3,8,5,3,0,3,0,0,0,3,5,0,85
90,7,7,2,5,1,2,2,1,5,8,10,8,5,6,7,5,6,5,9,3,5,6,5,3,6,3,4,3,139
91,5,5,4,7,16,5,7,9,9,14,11,6,5,8,0,5,5,1,4,1,6,1,4,1,6,1,6,1,153
92,6,9,3,4,2,2,2,1,4,5,4,13,6,7,5,9,4,10,5,14,5,10,7,6,6,7,4,8,168
93,6,5,2,4,4,5,4,4,5,3,5,6,1,6,0,5,4,7,6,6,6,4,5,6,5,10,6,7,137
94,5,5,3,7,2,2,1,1,2,5,13,10,6,7,5,4,6,8,5,9,4,10,7,5,4,13,7,4,160
95,6,5,3,3,1,1,2,1,2,2,9,8,2,7,4,3,1,6,1,4,2,8,1,7,1,4,4,4,102
96,6,6,2,6,3,5,9,5,17,11,13,7,6,5,3,7,6,15,7,11,0,0,6,5,6,4,5,11,187
97,18,12,4,16,12,36,9,22,62,5,15,6,3,19,0,5,5,8,8,5,28,3,0,10,4,1,8,6,330
98,7,9,6,4,10,13,5,3,7,6,5,9,6,7,6,11,7,8,6,14,4,9,5,6,4,7,7,12,203
99,9,7,4,10,2,2,1,1,3,11,10,13,10,8,6,10,5,7,5,11,6,6,6,8,7,6,4,6,184
100,25,9,12,6,14,5,5,7,7,8,11,18,5,21,7,21,5,18,5,15,6,7,5,14,5,10,4,4,279
101,4,6,2,13,1,1,4,3,3,5,4,4,3,7,2,5,4,3,3,7,4,7,3,5,3,5,6,5,122
102,38,5,2,14,1,3,19,6,18,11,9,21,15,18,11,13,13,15,11,11,6,14,5,6,6,14,9,7,321
103,8,6,5,4,8,8,7,2,15,5,3,9,6,11,3,11,3,9,4,8,4,9,0,0,7,10,6,4,175
104,17,8,2,19,5,16,10,10,6,6,5,9,7,8,5,11,6,6,6,7,5,8,3,6,3,3,4,4,205
105,4,5,3,6,1,1,1,3,2,4,2,8,7,7,7,8,6,10,4,8,6,7,4,11,4,11,7,11,158
106,3,4,2,5,1,4,5,3,9,5,4,3,5,8,3,3,5,4,6,8,7,4,4,4,8,12,6,4,139
107,3,4,2,4,2,1,14,5,4,8,22,4,6,3,8,4,10,9,5,1,5,1,10,1,3,1,6,1,147
108,1,4,2,7,2,2,5,2,8,9,3,5,4,10,4,6,6,10,5,5,3,17,3,5,3,4,3,7,145
109,2,4,2,4,2,4,1,5,4,6,9,9,5,8,3,6,5,7,4,4,1,4,1,4,3,4,2,3,116
110,4,13,2,10,4,4,9,11,11,13,4,13,5,8,5,11,6,12,11,12,4,12,6,7,5,4,11,6,223
111,4,8,2,9,6,15,14,9,11,17,15,13,9,4,3,11,10,6,9,8,6,6,3,5,4,7,3,2,219
112,4,8,2,4,1,1,6,6,4,5,3,7,4,8,2,8,2,10,0,0,3,2,0,2,1,0,4,0,97
113,0,3,3,4,2,2,4,3,3,5,3,4,2,4,0,1,4,5,4,0,0,5,0,0,2,7,5,6,81
114,5,6,4,13,4,2,1,4,6,7,6,8,11,4,7,6,7,9,5,8,7,10,0,0,5,13,7,10,175
115,8,3,5,6,6,6,16,10,18,14,7,9,16,17,7,16,14,15,15,7,9,21,7,10,21,11,13,8,315
116,6,8,7,6,3,2,6,7,7,7,7,3,4,3,5,9,5,6,6,7,9,6,5,10,4,5,5,7,165
117,6,4,2,21,25,16,4,9,25,43,5,4,8,6,10,8,10,10,12,8,12,15,5,17,10,15,8,14,332
118,9,9,14,5,1,4,3,5,3,4,2,4,8,5,6,8,7,3,5,5,1,5,5,7,6,6,10,3,153
119,1,1,1,1,0,1,1,1,1,1,8,8,3,6,2,3,2,1,3,6,3,3,4,3,4,3,0,0,71
120,4,7,3,7,5,3,4,8,7,4,7,4,6,9,4,10,6,5,5,6,3,6,2,5,2,5,5,5,147
121,9,6,2,7,1,4,3,2,10,6,9,12,9,11,3,5,10,11,4,12,5,8,8,10,6,9,8,11,201
122,2,0,1,2,1,1,6,6,2,1,0,0,0,0,3,0,0,0,0,2,0,0,1,1,0,0,0,0,29
123,4,2,4,1,2,1,1,1,2,2,0,0,0,0,3,3,0,3,0,0,3,0,3,0,3,2,3,0,43
124,4,3,5,7,1,1,1,1,4,4,8,7,5,6,5,8,4,8,5,11,6,9,6,7,4,8,6,5,149
125,2,3,2,9,3,1,1,1,2,4,2,9,7,3,0,13,6,3,3,3,6,7,8,2,4,3,5,6,118
126,3,4,2,2,2,4,2,1,2,7,0,3,4,4,0,2,4,4,2,6,0,0,3,0,3,2,0,5,71
127,4,3,1,4,1,3,3,3,1,12,6,5,6,5,4,5,7,7,4,4,4,4,6,12,7,7,5,8,141
128,5,10,2,13,3,4,1,2,1,9,4,8,6,7,6,8,6,7,11,8,5,7,4,6,5,5,7,7,167
129,22,8,4,26,3,4,4,3,7,9,7,14,5,9,5,18,7,19,9,15,6,24,7,7,5,13,8,11,279
130,4,2,1,4,1,3,3,2,4,5,3,4,1,4,4,4,3,6,3,3,1,4,4,6,5,2,3,7,96
131,13,10,3,11,6,7,7,2,6,18,2,7,5,9,4,8,4,14,4,7,7,14,5,12,9,13,18,14,239
132,9,12,2,15,3,4,2,4,2,13,6,3,5,5,2,7,5,5,7,5,4,0,8,6,5,4,3,5,151
133,2,3,1,5,1,2,1,1,1,6,4,7,6,9,4,3,5,0,4,5,0,0,5,4,5,8,4,4,100
134,10,7,2,27,1,3,3,1,6,5,4,7,8,3,5,8,5,10,4,7,7,10,0,9,4,11,9,12,188
135,5,2,2,4,2,2,1,2,2,4,4,4,6,2,4,4,5,4,7,7,9,6,5,2,5,5,3,4,112
136,5,6,2,15,2,3,3,5,7,14,4,24,5,10,7,10,5,10,9,13,0,0,4,7,4,10,19,8,211
137,5,6,0,5,5,2,2,2,2,5,3,3,6,6,4,7,7,7,5,8,4,4,5,7,10,5,4,3,132
138,6,7,2,5,3,3,3,5,7,8,6,6,5,13,6,6,5,16,6,8,3,3,5,6,9,6,7,8,173
139,5,4,1,12,1,1,1,1,1,6,7,12,5,7,5,10,6,10,5,7,10,22,4,8,2,10,4,11,178
140,8,4,2,5,2,1,1,1,3,41,3,4,4,7,3,3,5,8,4,5,0,4,0,4,4,6,5,4,141
141,4,2,2,11,1,2,3,3,5,3,5,8,6,6,6,4,5,8,2,8,3,4,6,9,8,5,11,5,145
142,9,5,2,3,1,1,1,2,3,2,4,5,4,10,3,7,3,3,10,5,7,5,1,6,6,6,5,5,124
143,10,15,9,8,4,6,2,3,7,11,15,11,8,14,12,12,9,8,11,17,7,5,11,10,9,8,6,11,259
144,9,5,2,9,1,1,1,1,2,9,2,6,4,2,5,5,3,5,2,7,2,4,4,7,5,4,6,3,116
145,4,9,5,3,1,1,1,1,2,4,11,7,7,5,6,4,5,6,3,2,3,3,3,3,2,3,4,5,113
146,11,6,2,12,1,1,1,2,2,5,4,6,6,6,0,4,2,8,2,4,4,5,13,4,4,7,4,6,132
147,8,4,2,10,2,1,2,1,3,3,3,6,10,5,5,7,5,4,5,7,4,8,8,6,8,5,5,5,142
148,9,4,2,10,1,1,1,1,1,3,4,6,4,3,6,6,6,13,4,2,0,9,7,7,5,9,5,10,139
149,6,3,2,3,1,1,1,3,1,1,2,2,7,2,7,2,3,2,4,1,0,1,2,3,6,0,3,1,70
150,6,7,2,4,3,2,2,1,3,2,3,5,7,3,5,7,7,3,7,4,3,3,2,1,3,4,10,1,110
151,14,7,5,12,6,2,4,9,5,7,5,9,7,7,11,9,6,12,7,8,7,11,8,18,6,5,10,5,222
152,4,4,2,3,1,1,3,1,1,3,5,19,2,10,2,5,1,7,2,8,2,7,5,6,2,7,2,6,121
153,4,4,3,2,2,2,1,2,2,3,2,2,5,2,2,3,5,2,3,2,3,3,0,3,2,2,3,2,71
154,5,6,10,8,1,1,4,1,3,3,13,9,11,7,0,3,5,11,5,14,3,0,3,0,10,4,6,8,154
155,5,6,2,4,1,1,1,1,3,4,5,4,5,5,4,5,4,4,3,3,6,6,4,9,2,3,3,3,106
156,2,3,3,4,3,2,2,4,4,5,3,5,9,4,5,5,3,7,6,9,0,6,5,5,4,5,4,2,119
157,8,7,2,5,1,3,6,10,4,6,4,7,5,8,5,6,5,6,5,6,9,5,7,5,4,2,7,12,160
158,5,2,1,7,2,2,1,1,1,4,1,4,0,4,0,4,2,6,3,4,2,5,4,3,2,3,4,3,80
159,5,6,4,2,4,4,4,6,3,5,5,17,7,13,13,11,10,21,9,16,11,11,10,17,5,21,10,14,264
160,4,5,2,3,1,2,1,2,3,3,3,7,5,9,1,4,2,5,3,6,2,5,7,7,4,5,8,5,114
161,7,11,3,6,1,1,1,1,3,4,8,7,7,8,6,7,2,12,2,8,4,12,5,6,4,5,2,6,149
162,5,8,4,0,1,3,1,1,3,5,8,6,5,9,0,4,6,9,3,8,0,0,7,3,14,0,4,4,121
163,6,3,3,9,1,3,2,2,4,6,2,9,6,6,6,8,6,8,3,9,6,8,6,7,5,5,3,8,150
164,6,3,3,9,1,3,2,2,4,6,2,9,6,6,6,8,6,8,3,9,6,8,6,7,5,5,3,8,150
165,5,7,2,3,2,3,4,5,5,5,5,11,5,10,6,11,6,5,5,14,6,5,5,6,4,8,3,10,166
166,5,7,8,4,5,4,5,1,8,9,6,3,5,3,0,3,4,4,6,3,6,9,3,3,2,9,5,3,133
167,7,3,2,7,1,1,3,1,2,5,2,6,5,6,7,11,5,9,3,12,7,11,5,17,7,8,3,4,160
168,8,7,2,7,2,7,4,4,7,5,4,9,4,4,4,7,3,4,5,7,6,18,7,6,6,5,6,11,169
169,13,10,1,11,9,10,11,7,17,26,9,11,6,5,6,8,27,7,14,8,35,7,9,9,13,6,7,5,307
170,4,9,2,9,2,1,2,2,2,4,3,11,4,6,6,6,3,5,3,11,4,10,5,12,4,6,5,6,147
171,7,10,6,5,1,1,4,3,3,5,3,9,4,5,3,4,5,4,4,7,11,7,2,6,4,5,5,6,139
172,9,7,2,10,3,4,6,2,6,5,6,10,5,10,6,9,4,10,6,8,6,8,0,7,5,10,4,8,176
173,5,3,2,4,1,1,4,1,4,6,7,6,3,8,6,6,7,5,4,4,6,5,5,6,5,7,6,11,138
174,19,12,3,5,1,1,5,1,2,8,4,5,5,6,2,5,2,5,1,4,2,0,9,6,7,5,3,4,132
175,6,5,4,8,1,2,4,3,6,6,4,3,5,4,4,4,9,3,5,5,3,12,5,5,6,5,5,8,140
176,8,2,2,11,3,7,7,7,6,6,12,7,7,8,7,23,5,9,8,7,9,11,7,4,6,6,4,8,207
177,3,8,2,9,2,2,2,3,4,6,5,5,8,3,4,3,5,9,2,6,2,7,6,3,3,5,6,3,126
178,9,16,2,10,1,2,3,5,3,10,3,7,4,7,5,13,4,9,3,12,6,4,4,10,9,15,7,6,189
179,3,3,2,7,1,1,2,3,5,7,9,9,7,6,7,8,5,5,7,5,7,7,4,5,7,8,6,10,156
180,1,1,1,1,1,5,1,1,2,6,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44
181,3,3,2,1,1,1,1,1,2,3,3,7,4,1,4,1,4,1,2,1,3,1,2,1,5,1,4,1,64
182,5,12,2,9,1,3,2,2,10,3,8,7,7,6,0,6,6,6,8,6,0,6,4,7,6,6,5,5,148
183,3,2,2,2,2,2,2,1,3,2,6,5,5,6,4,6,4,6,8,5,9,6,4,8,4,4,5,2,118
184,4,3,3,6,1,1,4,1,7,4,12,8,4,3,3,4,7,14,3,7,0,4,0,4,4,18,4,15,148
185,3,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,31
186,12,5,2,14,1,1,4,8,10,4,3,16,8,5,9,16,7,17,7,17,15,14,13,10,3,7,15,7,250
187,5,8,4,13,6,4,17,11,10,10,8,13,6,13,6,15,7,11,8,8,6,7,31,7,5,9,8,11,267
188,3,3,2,5,2,1,1,3,1,4,5,4,4,4,4,9,4,2,6,8,5,7,7,6,4,6,2,5,117
189,3,4,2,4,2,3,1,1,2,5,5,6,7,8,7,4,6,5,6,5,0,0,14,5,4,11,3,5,128
190,5,3,9,5,3,3,1,5,3,4,3,13,2,6,3,6,3,3,3,7,3,10,5,2,4,6,4,5,129
191,5,4,2,9,1,3,3,1,4,7,3,7,5,8,4,5,5,7,8,7,6,5,6,5,5,9,8,9,151
192,21,14,8,21,6,1,10,6,9,19,6,14,5,7,10,15,10,11,7,44,7,30,17,13,7,5,7,28,358
193,6,8,5,3,1,1,2,1,2,3,5,3,5,6,4,7,4,6,3,7,3,4,3,3,4,5,15,3,122
194,4,5,2,5,1,3,1,1,2,2,2,9,4,4,2,4,2,6,3,4,3,4,5,5,4,4,3,2,96
195,6,0,4,0,1,1,3,1,1,5,0,0,9,5,0,0,5,2,3,4,15,13,0,0,2,2,0,0,82
196,7,14,3,16,1,1,2,4,6,7,5,8,7,6,5,16,13,9,5,4,8,13,13,10,13,9,15,5,225
197,5,8,2,13,1,1,1,1,2,10,8,7,7,13,7,8,6,10,10,7,0,13,9,4,9,3,7,9,181
198,11,6,5,15,2,2,2,2,2,12,8,6,4,3,2,9,4,3,4,3,3,6,3,4,5,2,5,3,136
199,7,3,5,17,3,1,1,4,3,4,2,15,6,8,4,5,5,15,3,13,4,18,13,6,4,10,4,12,195
200,6,10,2,0,2,2,1,1,1,4,6,13,6,6,6,7,4,8,0,0,4,6,14,4,1,4,7,6,131
201,6,4,2,7,2,1,1,2,1,4,6,8,6,7,4,0,8,9,7,4,6,7,7,5,5,6,3,4,132
202,5,11,10,13,7,8,6,8,21,9,9,14,12,26,6,12,11,14,16,15,5,16,11,6,13,20,6,20,330
203,5,14,6,14,2,1,1,1,2,37,4,7,7,8,12,6,5,11,8,26,4,11,19,15,11,18,8,42,305
204,6,3,1,8,4,8,2,3,4,5,1,28,7,4,6,10,5,7,2,6,4,19,12,2,4,8,26,6,201
205,11,5,5,4,2,2,1,1,2,6,9,11,4,9,3,4,7,5,0,14,7,9,13,0,10,7,5,6,162
206,18,13,2,7,5,7,5,6,6,7,4,11,6,10,2,14,7,17,5,30,6,7,19,3,1,16,6,4,244
207,5,5,2,3,1,1,1,1,2,5,3,2,4,7,4,6,2,4,4,4,15,6,3,8,4,3,4,4,113
208,6,3,2,5,2,3,1,1,3,6,5,4,5,4,5,9,3,6,4,10,6,3,4,6,5,7,4,5,127
209,8,5,2,5,1,3,2,1,1,13,5,13,6,3,7,8,8,11,3,8,6,12,9,5,0,0,6,9,160
210,6,10,8,9,4,11,12,10,18,23,15,27,23,13,12,13,5,13,3,11,5,9,8,4,12,13,4,25,326
211,6,6,2,15,5,5,11,3,8,11,6,9,5,5,5,5,5,8,5,9,7,10,12,9,9,9,9,14,213
212,5,4,10,3,3,5,4,6,9,6,11,13,5,4,5,10,15,8,7,9,10,7,5,7,9,4,5,3,192
213,17,11,5,15,3,1,2,1,2,10,9,8,6,10,5,21,20,14,8,7,15,23,11,6,9,12,14,9,274
214,4,5,2,1,2,2,1,1,4,5,4,10,6,2,9,8,4,7,4,6,6,6,6,6,6,6,5,4,132
215,17,4,2,14,1,3,2,3,6,3,3,23,4,10,4,9,5,6,5,13,7,13,5,5,4,13,4,5,193
216,5,4,2,6,2,3,1,1,3,3,7,8,4,9,4,9,5,9,6,7,5,7,5,5,5,7,5,7,144
