numero,escuela,nivel,sexo,grado,edad,suma_total_sustantivos,suma_total_verbos,suma_total_adjetivos,suma_total_adverbios,total_palabras_clasificadas,total_palabras,gran_total
39,Americas Unidas,1,M,6,11,36,27,10,6,79,168,63
40,Americas Unidas,1,M,6,11,31,17,14,12,74,143,71
41,Americas Unidas,1,M,6,12,25,13,5,5,48,135,43
42,Americas Unidas,1,M,6,12,16,12,10,6,44,87,37
43,Americas Unidas,1,M,6,12,14,7,14,9,44,105,50
44,Americas Unidas,1,M,6,12,34,22,13,16,85,148,47
45,Americas Unidas,1,M,6,12,17,8,4,8,37,70,40
46,Americas Unidas,1,M,6,12,39,24,13,12,88,200,63
47,Americas Unidas,1,M,6,12,13,18,8,12,51,100,56
48,Americas Unidas,1,M,6,13,24,20,6,13,63,120,62
49,Colegio Nuevo Milenio,1,M,4,9,20,19,12,17,68,141,58
50,Colegio Nuevo Milenio,1,M,4,9,56,20,20,11,107,230,48
51,Colegio Nuevo Milenio,1,M,4,9,18,10,9,6,43,76,60
52,Colegio Nuevo Milenio,1,M,4,9,31,22,14,16,83,170,55
53,Colegio Nuevo Milenio,1,M,4,9,29,14,11,13,67,143,57
54,Colegio Nuevo Milenio,1,M,4,9,37,16,18,22,93,194,64
55,Colegio Nuevo Milenio,1,M,4,10,38,19,8,13,78,164,66
56,Colegio Nuevo Milenio,1,M,4,10,33,13,11,10,67,124,64
57,Colegio Nuevo Milenio,1,M,4,10,37,18,6,11,72,122,52
58,Colegio Nuevo Milenio,1,M,4,10,29,21,10,10,70,143,54
59,Colegio Nuevo Milenio,1,M,4,10,38,18,11,19,86,175,62
60,Colegio Nuevo Milenio,1,M,4,10,40,25,18,17,100,228,59
61,Colegio Nuevo Milenio,1,M,4,10,34,19,9,9,71,143,47
62,Colegio Nuevo Milenio,1,M,4,10,22,22,13,11,68,134,60
63,Colegio Nuevo Milenio,1,M,4,10,52,29,15,16,112,207,59
64,Colegio Nuevo Milenio,1,M,5,10,40,22,15,10,87,181,59
65,Colegio Nuevo Milenio,1,M,5,10,27,11,6,13,57,119,46
66,Colegio Nuevo Milenio,1,M,5,10,26,19,10,10,65,121,60
67,Colegio Nuevo Milenio,1,M,5,11,37,17,12,12,78,164,63
68,Colegio Nuevo Milenio,1,M,5,11,31,22,23,20,96,178,53
69,Colegio Nuevo Milenio,1,M,5,11,34,12,21,9,76,127,60
70,Colegio Nuevo Milenio,1,M,5,11,33,11,13,11,68,154,58
71,Colegio Nuevo Milenio,1,M,5,11,19,23,18,13,73,176,57
72,Colegio Nuevo Milenio,1,M,5,11,35,19,15,13,82,171,63
73,Colegio Nuevo Milenio,1,M,5,12,12,11,13,15,51,115,69
74,Colegio Nuevo Milenio,1,M,5,12,34,21,14,10,79,130,67
75,Colegio Nuevo Milenio,1,M,5,11,20,14,1,3,38,96,52
76,Colegio Nuevo Milenio,1,M,5,11,33,16,11,9,69,146,67
77,Colegio Nuevo Milenio,1,M,5,13,26,17,17,14,74,147,63
78,Republica Francesa,1,M,4,9,26,10,12,8,56,108,56
79,Republica Francesa,1,M,4,9,31,10,11,5,57,102,51
80,Republica Francesa,1,M,4,9,7,13,4,5,29,53,37
81,Republica Francesa,1,M,4,9,21,20,10,12,63,136,63
82,Republica Francesa,1,M,4,9,14,14,4,15,47,85,47
83,Republica Francesa,1,M,4,9,23,14,13,11,61,113,57
84,Republica Francesa,1,M,4,9,7,6,6,6,25,55,57
85,Republica Francesa,1,M,4,9,20,9,9,4,42,100,58
86,Republica Francesa,1,M,4,9,20,9,13,7,49,101,50
87,Republica Francesa,1,M,4,9,39,19,20,13,91,181,51
88,Republica Francesa,1,M,4,9,11,17,12,12,52,89,38
89,Republica Francesa,1,M,4,9,18,9,10,8,45,100,57
90,Republica Francesa,1,M,4,9,32,20,10,15,77,157,57
91,Republica Francesa,1,M,4,9,24,15,13,13,65,117,51
92,Republica Francesa,1,M,4,9,11,4,5,5,25,48,49
93,Republica Francesa,1,M,4,9,24,21,5,13,63,125,61
94,Republica Francesa,1,M,4,9,32,14,11,6,63,114,66
95,Republica Francesa,1,M,4,9,26,8,2,7,43,93,54
96,Republica Francesa,1,M,4,9,34,19,15,16,84,165,59
97,Republica Francesa,1,M,4,9,31,27,7,20,85,150,38
98,Republica Francesa,1,M,4,9,36,14,5,8,63,155,60
99,Republica Francesa,1,M,4,9,27,10,7,18,62,128,59
100,Republica Francesa,1,M,4,9,28,17,7,4,56,98,60
101,Republica Francesa,1,M,4,9,0,0,0,0,0,3,7
102,Republica Francesa,1,M,4,10,13,7,12,8,40,74,64
103,Republica Francesa,1,M,4,10,21,8,4,7,40,88,55
104,Republica Francesa,1,M,4,10,17,8,5,8,38,69,50
105,Republica Francesa,1,M,4,10,41,18,13,16,88,183,57
106,Republica Francesa,1,M,4,10,24,12,5,12,53,118,51
107,Republica Francesa,1,M,4,10,24,11,11,9,55,102,53
108,Republica Francesa,1,M,4,10,14,11,5,8,38,74,50
109,Republica Francesa,1,M,4,10,17,15,8,1,41,109,60
110,Republica Francesa,1,M,4,10,16,7,18,5,46,75,57
111,Republica Francesa,1,M,4,10,29,9,27,18,83,171,50
112,Republica Francesa,1,M,4,10,39,24,6,4,73,152,57
113,Republica Francesa,1,M,4,10,17,14,12,9,52,127,40
114,Republica Francesa,1,M,4,10,23,22,10,5,60,141,60
115,Republica Francesa,1,M,4,10,21,19,1,8,49,101,65
116,Republica Francesa,1,M,4,10,25,21,4,9,59,115,48
117,Republica Francesa,1,M,4,10,42,23,12,12,89,201,48
118,Republica Francesa,1,M,4,10,20,15,5,11,51,118,51
119,Republica Francesa,1,M,4,11,33,16,10,5,64,149,52
120,Republica Francesa,1,M,4,11,16,13,7,13,49,106,44
121,Republica Francesa,1,M,5,10,33,16,13,10,72,163,58
122,Republica Francesa,1,M,5,10,13,13,7,9,42,55,48
123,Republica Francesa,1,M,5,10,30,13,8,4,55,141,59
124,Republica Francesa,1,M,5,10,15,9,11,7,42,96,63
125,Republica Francesa,1,M,5,10,30,16,9,11,66,137,63
126,Republica Francesa,1,M,5,10,24,17,7,7,55,121,55
127,Republica Francesa,1,M,5,10,21,15,9,15,60,120,54
128,Republica Francesa,1,M,5,10,24,15,12,7,58,135,52
129,Republica Francesa,1,M,5,10,43,25,19,10,97,199,61
130,Republica Francesa,1,M,5,10,27,16,17,13,73,154,60
131,Republica Francesa,1,M,5,10,32,24,9,9,74,153,57
132,Republica Francesa,1,M,5,10,35,25,4,15,79,195,61
133,Republica Francesa,1,M,5,10,51,34,13,7,105,246,54
134,Republica Francesa,1,M,5,10,30,12,20,13,75,158,66
135,Republica Francesa,1,M,5,10,24,24,11,8,67,160,51
136,Republica Francesa,1,M,5,10,22,7,14,2,45,103,57
137,Republica Francesa,1,M,5,11,32,5,10,7,54,109,58
138,Republica Francesa,1,M,5,11,15,19,9,12,55,124,40
139,Republica Francesa,1,M,5,11,17,13,5,6,41,84,60
140,Republica Francesa,1,M,5,11,23,14,11,6,54,108,54
141,Republica Francesa,1,M,5,11,42,23,16,23,104,219,58
142,Republica Francesa,1,M,5,11,51,24,11,19,105,220,63
143,Republica Francesa,1,M,5,11,26,19,14,7,66,142,69
144,Republica Francesa,1,M,5,11,32,17,7,9,65,133,71
145,Republica Francesa,1,M,5,11,44,24,11,12,91,182,61
146,Republica Francesa,1,M,5,11,19,10,16,14,59,125,69
147,Republica Francesa,1,M,5,11,58,34,27,16,135,290,62
148,Republica Francesa,1,M,5,11,57,24,16,12,109,243,57
149,Republica Francesa,1,M,5,11,48,29,7,20,104,219,55
150,Republica Francesa,1,M,5,11,29,11,14,11,65,132,63
151,Republica Francesa,1,M,5,11,45,25,10,10,90,198,70
152,Republica Francesa,1,M,5,11,36,29,22,8,95,191,66
153,Republica Francesa,1,M,5,11,35,17,14,24,90,162,64
154,Republica Francesa,1,M,5,11,18,16,16,11,61,116,53
155,Republica Francesa,1,M,5,11,21,17,6,8,52,127,52
156,Republica Francesa,1,M,5,11,20,12,4,3,39,86,53
157,Republica Francesa,1,M,6,11,26,10,2,17,55,110,60
158,Republica Francesa,1,M,6,11,25,5,10,2,42,101,51
159,Republica Francesa,1,M,6,11,42,19,15,15,91,179,68
160,Republica Francesa,1,M,6,11,38,20,8,10,76,134,57
161,Republica Francesa,1,M,6,11,23,19,12,9,63,126,71
162,Republica Francesa,1,M,6,11,31,15,15,10,71,134,65
163,Republica Francesa,1,M,6,11,49,18,20,10,97,225,65
164,Republica Francesa,1,M,6,11,25,16,15,19,75,156,69
165,Republica Francesa,1,M,6,11,41,14,9,16,80,149,61
166,Republica Francesa,1,M,6,11,30,27,20,18,95,199,64
167,Republica Francesa,1,M,6,11,30,15,15,12,72,154,60
168,Republica Francesa,1,M,6,11,34,25,19,24,102,188,56
169,Republica Francesa,1,M,6,11,52,23,9,3,87,223,63
170,Republica Francesa,1,M,6,11,13,5,3,8,29,59,37
171,Republica Francesa,1,M,6,11,38,24,12,9,83,175,52
172,Republica Francesa,1,M,6,11,32,20,20,12,84,167,60
173,Republica Francesa,1,M,6,11,27,18,7,13,65,129,57
174,Republica Francesa,1,M,6,11,30,25,12,9,76,164,61
175,Republica Francesa,1,M,6,11,37,19,12,9,77,180,66
176,Republica Francesa,1,M,6,11,29,13,10,12,64,143,54
177,Republica Francesa,1,M,6,11,36,10,5,19,70,154,54
178,Republica Francesa,1,M,6,11,22,15,14,6,57,106,57
179,Republica Francesa,1,M,6,11,31,24,21,15,91,202,58
180,Republica Francesa,1,M,6,12,16,16,10,11,53,135,69
181,Republica Francesa,1,M,6,12,28,12,15,14,69,142,65
182,Republica Francesa,1,M,6,12,29,28,10,16,83,187,63
183,Republica Francesa,1,M,6,12,38,19,14,9,80,177,62
184,Republica Francesa,1,M,6,12,23,24,11,10,68,135,58
185,Republica Francesa,1,M,6,12,16,31,10,9,66,172,64
186,Republica Francesa,1,M,6,12,16,15,12,15,58,93,64
187,Republica Francesa,1,M,6,12,30,16,8,8,62,158,64
188,Republica Francesa,1,M,6,12,12,17,8,2,39,98,56
189,Republica Francesa,1,M,6,12,21,29,6,9,65,155,69
190,Republica Francesa,1,M,6,12,22,13,18,11,64,136,62
191,Republica Francesa,1,M,6,12,19,12,10,5,46,113,51
192,Republica Francesa,1,M,6,12,25,12,10,4,51,110,60
193,Republica Francesa,1,M,6,12,26,22,10,10,68,162,64
194,Republica Francesa,1,M,6,12,44,17,6,5,72,177,53
195,Republica Francesa,1,M,6,12,38,16,7,18,79,188,55
196,Republica Francesa,1,M,6,12,28,17,7,15,67,144,55
197,Republica Francesa,1,M,6,12,41,20,16,11,88,182,58
198,Republica Francesa,1,M,6,12,33,19,11,13,76,177,64
199,Republica Francesa,1,M,6,12,37,25,10,6,78,155,33
200,Calli Montessori,1,M,4,9,41,15,10,6,72,182,50
201,Calli Montessori,1,M,4,9,46,28,22,18,114,244,57
202,Calli Montessori,1,M,4,9,45,15,7,8,75,160,63
203,Calli Montessori,1,M,4,10,37,24,12,10,83,184,63
204,Calli Montessori,1,M,4,10,41,20,7,8,76,181,64
205,Calli Montessori,1,M,4,10,31,19,17,10,77,152,65
206,Calli Montessori,1,M,5,10,41,22,22,15,100,221,64
207,Calli Montessori,1,M,5,10,25,12,8,6,51,114,62
208,Calli Montessori,1,M,5,10,24,16,15,12,67,134,57
209,Calli Montessori,1,M,5,11,15,10,11,7,43,86,63
210,Calli Montessori,1,M,5,11,29,17,12,15,73,138,64
211,Calli Montessori,1,M,5,11,41,17,12,6,76,167,67
212,Calli Montessori,1,M,5,11,25,17,11,5,58,121,53
213,Calli Montessori,1,M,5,12,20,22,7,15,64,154,52
214,Calli Montessori,1,M,6,11,17,17,12,20,66,126,62
215,Calli Montessori,1,M,6,11,29,7,23,7,66,121,40
216,Americas Unidas,1,F,4,9,42,10,6,13,71,169,38
217,Americas Unidas,1,F,4,9,12,8,5,7,32,70,25
218,Americas Unidas,1,F,4,9,26,13,16,10,65,141,60
219,Americas Unidas,1,F,4,9,29,19,9,18,75,138,62
220,Americas Unidas,1,F,4,9,31,28,12,17,88,211,64
221,Americas Unidas,1,F,4,9,35,25,12,14,86,159,45
222,Americas Unidas,1,F,4,9,23,21,19,15,78,153,71
223,Americas Unidas,1,F,4,9,40,25,15,12,92,162,58
224,Americas Unidas,1,F,4,10,21,22,16,16,75,126,56
225,Americas Unidas,1,F,4,10,36,13,14,14,77,138,54
226,Americas Unidas,1,F,4,10,27,11,5,9,52,99,24
227,Americas Unidas,1,F,4,10,38,15,10,11,74,145,66
228,Americas Unidas,1,F,4,10,34,18,12,11,75,148,57
229,Americas Unidas,1,F,4,10,19,11,15,12,57,116,44
230,Americas Unidas,1,F,4,9,4,2,1,1,8,19,6
231,Americas Unidas,1,F,5,10,38,15,21,11,85,163,53
232,Americas Unidas,1,F,5,10,31,16,15,8,70,137,73
233,Americas Unidas,1,F,5,10,42,14,14,13,83,166,51
234,Americas Unidas,1,F,5,10,49,30,5,11,95,178,53
235,Americas Unidas,1,F,5,10,19,19,15,18,71,129,33
236,Americas Unidas,1,F,5,10,38,19,13,14,84,169,60
237,Americas Unidas,1,F,5,10,36,24,13,19,92,192,67
238,Americas Unidas,1,F,5,10,28,26,14,9,77,158,45
239,Americas Unidas,1,F,5,10,30,21,15,12,78,134,68
240,Americas Unidas,1,F,5,11,30,20,15,14,79,171,63
241,Americas Unidas,1,F,5,11,25,21,15,16,77,137,70
242,Americas Unidas,1,F,5,11,38,23,14,12,87,166,56
243,Americas Unidas,1,F,5,11,31,15,5,4,55,123,56
244,Americas Unidas,1,F,5,11,39,16,11,9,75,169,68
245,Americas Unidas,1,F,6,11,41,20,11,16,88,184,60
246,Americas Unidas,1,F,6,11,37,19,9,9,74,151,55
247,Americas Unidas,1,F,6,11,32,26,11,26,95,164,61
248,Americas Unidas,1,F,6,11,19,20,16,19,74,160,60
249,Americas Unidas,1,F,6,11,41,20,13,14,88,147,69
250,Americas Unidas,1,F,6,12,41,26,9,8,84,172,41
251,Americas Unidas,1,F,6,12,25,21,14,12,72,146,52
252,Americas Unidas,1,F,6,12,24,13,12,15,64,112,59
253,Americas Unidas,1,F,6,12,39,27,22,14,102,235,60
254,Americas Unidas,1,F,6,12,42,26,21,16,105,200,71
255,Americas Unidas,1,F,6,12,30,19,23,14,86,191,68
256,Americas Unidas,1,F,6,12,19,18,7,8,52,116,48
257,Americas Unidas,1,F,6,12,21,17,18,19,75,133,51
258,Americas Unidas,1,F,6,12,38,22,14,17,91,179,74
259,Americas Unidas,1,F,6,12,39,25,20,22,106,202,59
260,Colegio Nuevo Milenio,1,F,4,9,11,20,11,13,55,107,50
261,Colegio Nuevo Milenio,1,F,4,9,36,18,10,9,73,137,65
262,Colegio Nuevo Milenio,1,F,4,9,27,19,3,15,64,121,68
263,Colegio Nuevo Milenio,1,F,4,9,35,22,13,16,86,169,60
264,Colegio Nuevo Milenio,1,F,4,9,26,13,5,10,54,98,46
265,Colegio Nuevo Milenio,1,F,4,9,28,17,4,10,59,116,51
266,Colegio Nuevo Milenio,1,F,4,9,23,12,4,6,45,114,43
267,Colegio Nuevo Milenio,1,F,4,9,35,16,9,17,77,160,62
268,Colegio Nuevo Milenio,1,F,4,9,36,15,7,5,63,115,55
269,Colegio Nuevo Milenio,1,F,4,10,30,9,6,6,51,116,44
270,Colegio Nuevo Milenio,1,F,4,10,23,16,6,11,56,110,61
271,Colegio Nuevo Milenio,1,F,4,10,30,17,5,7,59,118,65
272,Colegio Nuevo Milenio,1,F,4,10,44,20,4,11,79,149,51
273,Colegio Nuevo Milenio,1,F,4,10,25,19,6,14,64,114,70
274,Colegio Nuevo Milenio,1,F,4,10,19,10,10,9,48,79,53
275,Colegio Nuevo Milenio,1,F,4,11,37,21,5,13,76,153,59
276,Colegio Nuevo Milenio,1,F,4,11,26,19,13,13,71,141,52
277,Colegio Nuevo Milenio,1,F,5,10,33,18,9,8,68,118,55
278,Colegio Nuevo Milenio,1,F,5,10,41,21,17,13,92,175,63
279,Colegio Nuevo Milenio,1,F,5,10,28,16,18,8,70,152,63
280,Colegio Nuevo Milenio,1,F,5,10,37,14,13,8,72,135,75
281,Colegio Nuevo Milenio,1,F,5,10,38,20,9,9,76,157,63
282,Colegio Nuevo Milenio,1,F,5,10,29,19,5,11,64,133,67
283,Colegio Nuevo Milenio,1,F,5,10,29,18,13,13,73,150,58
284,Colegio Nuevo Milenio,1,F,5,11,21,11,11,3,46,92,69
285,Colegio Nuevo Milenio,1,F,5,11,31,23,8,16,78,160,70
286,Colegio Nuevo Milenio,1,F,5,10,17,14,9,8,48,103,65
287,Colegio Nuevo Milenio,1,F,5,10,29,11,9,8,57,120,58
288,Colegio Nuevo Milenio,1,F,5,11,25,12,7,8,52,104,64
289,Republica Francesa,1,F,4,9,32,11,10,3,56,119,63
290,Republica Francesa,1,F,4,9,36,13,9,13,71,154,61
291,Republica Francesa,1,F,4,9,21,16,6,14,57,109,53
292,Republica Francesa,1,F,4,9,16,13,14,11,54,111,55
293,Republica Francesa,1,F,4,9,40,23,10,10,83,189,63
294,Republica Francesa,1,F,4,9,34,12,13,11,70,133,69
295,Republica Francesa,1,F,4,9,21,15,5,6,47,85,62
296,Republica Francesa,1,F,4,9,23,15,11,7,56,121,70
297,Republica Francesa,1,F,4,9,38,18,6,15,77,170,65
298,Republica Francesa,1,F,4,9,18,13,7,11,49,107,60
299,Republica Francesa,1,F,4,9,22,23,12,11,68,152,73
300,Republica Francesa,1,F,4,9,24,15,11,13,63,129,65
301,Republica Francesa,1,F,4,9,27,9,14,6,56,114,63
302,Republica Francesa,1,F,4,9,10,6,10,3,29,56,34
303,Republica Francesa,1,F,4,9,25,18,11,10,64,133,56
304,Republica Francesa,1,F,4,9,34,19,15,14,82,157,68
305,Republica Francesa,1,F,4,9,50,26,8,9,93,198,48
306,Republica Francesa,1,F,4,9,24,17,6,10,57,120,49
307,Republica Francesa,1,F,4,9,25,25,3,11,64,115,51
308,Republica Francesa,1,F,4,9,41,26,18,17,102,206,50
309,Republica Francesa,1,F,4,9,8,25,8,16,57,110,57
310,Republica Francesa,1,F,4,9,14,10,4,27,55,207,28
311,Republica Francesa,1,F,4,9,32,24,6,15,77,161,61
312,Republica Francesa,1,F,4,9,13,18,6,13,50,101,65
313,Republica Francesa,1,F,4,9,20,17,6,6,49,102,58
314,Republica Francesa,1,F,4,9,45,16,10,12,83,164,61
315,Republica Francesa,1,F,4,9,47,20,10,9,86,192,59
316,Republica Francesa,1,F,4,9,34,18,16,14,82,153,59
317,Republica Francesa,1,F,4,9,43,23,10,11,87,190,66
318,Republica Francesa,1,F,4,9,22,21,11,12,66,150,64
319,Republica Francesa,1,F,4,9,28,19,9,2,58,124,60
320,Republica Francesa,1,F,4,9,26,11,8,8,53,106,66
321,Republica Francesa,1,F,4,10,33,13,18,13,77,151,74
322,Republica Francesa,1,F,4,10,29,18,16,17,80,164,55
323,Republica Francesa,1,F,4,10,28,21,10,14,73,172,57
324,Republica Francesa,1,F,4,10,28,19,6,12,65,133,47
325,Republica Francesa,1,F,4,10,32,22,7,7,68,134,57
326,Republica Francesa,1,F,4,10,29,14,21,20,84,187,56
327,Republica Francesa,1,F,4,10,63,36,8,13,120,296,51
328,Republica Francesa,1,F,4,10,40,20,10,8,78,135,66
329,Republica Francesa,1,F,5,10,30,21,13,9,73,160,42
330,Republica Francesa,1,F,5,10,34,18,8,9,69,152,62
331,Republica Francesa,1,F,5,10,32,17,9,7,65,137,53
332,Republica Francesa,1,F,5,10,32,20,7,10,69,135,62
333,Republica Francesa,1,F,5,10,30,18,21,14,83,154,57
334,Republica Francesa,1,F,5,10,29,18,13,16,76,172,72
335,Republica Francesa,1,F,5,10,28,17,12,16,73,143,62
336,Republica Francesa,1,F,5,10,30,21,9,13,73,175,44
337,Republica Francesa,1,F,5,10,24,9,13,18,64,114,67
338,Republica Francesa,1,F,5,10,29,13,6,12,60,131,62
339,Republica Francesa,1,F,5,10,27,20,23,12,82,181,64
340,Republica Francesa,1,F,5,10,31,18,12,15,76,151,70
341,Republica Francesa,1,F,5,10,34,11,18,13,76,167,73
342,Republica Francesa,1,F,5,10,23,16,8,14,61,134,58
343,Republica Francesa,1,F,5,10,17,18,8,17,60,130,50
344,Republica Francesa,1,F,5,10,30,17,10,13,70,166,45
345,Republica Francesa,1,F,5,10,28,23,10,17,78,166,49
346,Republica Francesa,1,F,5,10,40,27,19,16,102,205,57
347,Republica Francesa,1,F,5,10,35,7,12,13,67,116,58
348,Republica Francesa,1,F,5,10,42,24,20,17,103,213,69
349,Republica Francesa,1,F,5,10,36,18,7,4,65,135,55
350,Republica Francesa,1,F,5,10,39,12,10,13,74,176,63
351,Republica Francesa,1,F,5,10,33,23,11,6,73,153,63
352,Republica Francesa,1,F,5,10,29,23,10,19,81,170,68
353,Republica Francesa,1,F,5,10,40,16,14,11,81,189,58
354,Republica Francesa,1,F,5,10,60,41,19,26,146,317,70
355,Republica Francesa,1,F,5,10,21,15,9,15,60,135,67
356,Republica Francesa,1,F,5,10,33,23,14,16,86,186,61
357,Republica Francesa,1,F,5,10,38,24,9,15,86,189,66
358,Republica Francesa,1,F,5,10,39,32,13,14,98,241,68
359,Republica Francesa,1,F,5,10,37,34,9,10,90,195,63
360,Republica Francesa,1,F,5,10,32,11,4,4,51,121,47
361,Republica Francesa,1,F,5,11,21,21,18,8,68,144,62
362,Republica Francesa,1,F,5,11,49,20,16,13,98,209,55
363,Republica Francesa,1,F,5,11,32,19,25,11,87,206,60
364,Republica Francesa,1,F,5,11,43,13,14,11,81,176,59
365,Republica Francesa,1,F,5,11,33,15,19,11,78,162,63
366,Republica Francesa,1,F,5,11,33,16,21,13,83,163,60
367,Republica Francesa,1,F,5,11,24,27,11,13,75,184,57
368,Republica Francesa,1,F,5,11,23,9,13,8,53,96,67
369,Republica Francesa,1,F,5,11,50,34,17,28,129,275,67
370,Republica Francesa,1,F,5,11,31,12,22,9,74,129,71
371,Republica Francesa,1,F,5,11,38,21,10,9,78,147,63
372,Republica Francesa,1,F,5,11,28,16,8,6,58,128,66
373,Republica Francesa,1,F,5,11,33,24,21,19,97,197,66
374,Republica Francesa,1,F,5,11,25,17,8,13,63,110,66
375,Republica Francesa,1,F,5,11,42,18,12,12,84,176,59
376,Republica Francesa,1,F,5,11,56,25,17,14,112,244,64
377,Republica Francesa,1,F,5,11,24,19,11,7,61,127,63
378,Republica Francesa,1,F,5,11,36,23,13,1,73,167,63
379,Republica Francesa,1,F,6,11,40,16,8,9,73,145,68
380,Republica Francesa,1,F,6,11,17,8,11,12,48,87,67
381,Republica Francesa,1,F,6,11,41,14,5,8,68,180,65
382,Republica Francesa,1,F,6,11,30,18,19,11,78,175,76
383,Republica Francesa,1,F,6,11,35,17,16,13,81,151,70
384,Republica Francesa,1,F,6,11,18,23,13,17,71,148,60
385,Republica Francesa,1,F,6,11,37,15,13,11,76,164,68
386,Republica Francesa,1,F,6,11,27,15,16,10,68,160,64
387,Republica Francesa,1,F,6,11,28,24,9,8,69,147,72
388,Republica Francesa,1,F,6,11,17,12,5,5,39,75,58
389,Republica Francesa,1,F,6,11,42,23,17,14,96,197,77
390,Republica Francesa,1,F,6,11,36,19,15,9,79,157,64
391,Republica Francesa,1,F,6,11,26,36,10,11,83,175,67
392,Republica Francesa,1,F,6,11,22,22,7,10,61,152,63
393,Republica Francesa,1,F,6,11,30,17,18,12,77,161,66
394,Republica Francesa,1,F,6,11,55,20,19,11,105,238,68
395,Republica Francesa,1,F,6,11,28,18,10,8,64,156,67
396,Republica Francesa,1,F,6,11,19,14,19,11,63,104,58
397,Republica Francesa,1,F,6,11,42,20,13,15,90,224,78
398,Republica Francesa,1,F,6,11,34,21,14,15,84,185,74
399,Republica Francesa,1,F,6,11,46,29,9,11,95,209,66
400,Republica Francesa,1,F,6,11,20,10,15,12,57,107,64
401,Republica Francesa,1,F,6,11,35,14,16,15,80,160,67
402,Republica Francesa,1,F,6,11,38,17,16,7,78,145,63
403,Republica Francesa,1,F,6,11,43,25,13,15,96,177,71
404,Republica Francesa,1,F,6,11,30,20,18,19,87,186,69
405,Republica Francesa,1,F,6,11,40,15,19,23,97,198,66
406,Republica Francesa,1,F,6,11,33,19,9,10,71,176,68
407,Republica Francesa,1,F,6,11,44,12,17,18,91,223,68
408,Republica Francesa,1,F,6,11,32,18,5,10,65,146,52
409,Republica Francesa,1,F,6,11,33,27,16,19,95,194,72
410,Republica Francesa,1,F,6,11,42,11,20,8,81,184,75
411,Republica Francesa,1,F,6,12,52,24,19,9,104,231,66
412,Republica Francesa,1,F,6,12,34,22,8,6,70,168,56
413,Republica Francesa,1,F,6,12,30,15,16,16,77,139,72
414,Republica Francesa,1,F,6,12,33,11,21,10,75,167,66
415,Republica Francesa,1,F,6,12,32,17,13,18,80,184,70
416,Republica Francesa,1,F,6,12,17,22,9,11,59,137,71
417,Republica Francesa,1,F,6,12,44,13,25,17,99,178,76
418,Republica Francesa,1,F,6,12,32,11,23,20,86,166,67
419,Republica Francesa,1,F,6,12,38,15,13,9,75,157,57
420,Calli Montessori,1,F,4,9,34,23,5,6,68,155,61
