Secundaria,,,,,,,,Primaria,,,,,,,,,,word,secundaria,author,proportion
,,,,dragon,0.002123142,,,,,,,0.00234192,cuando se enojan,,,,,,,,
,,,,edrsdygu,0.002123142,,,10,0.016393443,hombre,,0.00234192,de el,,,,,,,,
,,,,ejercicio,0.002123142,,,,,,,0.00234192,diablo,,,,,,,,
,,,,el balon,0.002123142,balon,,,,,,0.00234192,(dormido),,,,,,,,
,,,,el calor,0.002123142,,,,,,,0.00234192,(el ) o ella? ,,,,,,,,
,,,,el es muy atractivo,0.002123142,,,,,,,0.00234192,el que madruga,,,,,,,,
,,,,el mundo,0.002123142,,,,,,,0.00234192,enemigo,,,,,,,,
,,,,el no es una peota de fego,0.002123142,,,,,,,0.00234192,enojon,,,,,,,,
,,,,el objeto,0.002123142,,,,,,,0.00234192,es una pelota,,,,,,,,
,,,,el objeto es una pelota de fuego,0.002123142,,,,,,,0.00234192,fireball,,,,,,,,
,,,,el patio,0.002123142,,,,,,,0.00234192,foco,,,,,,,,
,,,,el serillo,0.002123142,,,,,,,0.00234192,fogata,,,,,,,,
,,,,elsol,0.002123142,sol,,,,,,0.00234192,fudon,,,,,,,,
,,,,el vecino es una pelota,0.002123142,,,,,,,0.00234192,globo,,,,,,,,
,,,,el wevo,0.002123142,,,,,,,0.00234192,jacinto,,,,,,,,
,,,,encendedor,0.002123142,,,,,,,0.00234192,jaguar,,,,,,,,
,,,,esa,0.002123142,,,,,,,0.00234192,jardin,,,,,,,,
,,,,estufado,0.002123142,,,,,,,0.00234192,juan,,,,,,,,
,,,,fuerte,0.002123142,,,,,,,0.00234192,juega,,,,,,,,
,,,,furia,0.002123142,,,,,,,0.00234192,juego,,,,,,,,
,,,,ghhj,0.002123142,,,,,,,0.00234192,jugador,,,,,,,,
,,,,globo,0.002123142,,,,,,,0.00234192,juguete,,,,,,,,
,,,,grito,0.002123142,,,,,,,0.00234192,la pelota,,,,,,,,
,,,,hermanito,0.002123142,,,,,,,0.00234192,loco,,,,,,,,
,,,,huevo cosido,0.002123142,,,,,,,0.00234192,mango,,,,,,,,
,,,,humano,0.002123142,,,,,,,0.00234192,meteoro,,,,,,,,
,,,,internet,0.002123142,,,,,,,0.00234192,meteoro ,,,,,,,,
,,,,invalida x sistema,0.002123142,,,,,,,0.00234192,meteoro? ,,,,,,,,
,,,,jardin,0.002123142,,,,,,,0.00234192,metiorito,,,,,,,,
,,,,juego de plata,0.002123142,,,,,,,0.00234192,mr. senor,senor,,,,,,,
,,,,juguete,0.002123142,,,,,,,0.00234192,muy chida,,,,,,,,
,,,,la lumbre,0.002123142,,,,,,,0.00234192,naranja,,,,,,,,
,,,,llama,0.002123142,,,,,,,0.00234192,no entiendo nada,no contesto,,,,,,,
,,,,los aros de fuejo,0.002123142,,,,,,,0.00234192,no la conozco,no contesto,,,,,,,
,,,,love,0.002123142,,,,,,,0.00234192,no se,no contesto,,,,,,,
,,,,m,0.002123142,,,,,,,0.00234192,odio,,,,,,,,
,,,,malvavisco quemado,0.002123142,,,,,,,0.00234192,oido,,,,,,,,
,,,,mango,0.002123142,,,,,,,0.00234192,oso,,,,,,,,
,,,,mechero,0.002123142,,,,,,,0.00234192,papel ,,,,,,,,
,,,,metal,0.002123142,,,,,,,0.00234192,pelo,,,,,,,,
,,,,miedo,0.002123142,,,,,,,0.00234192,pelota de fuego,,,,,,,,
,,,,mi ermanito,0.002123142,,,,,,,0.00234192,plata,,,,,,,,
,,,,mi ermanito es una pelota de grytos,0.002123142,,,,,,,0.00234192,porque,,,,,,,,
,,,,mi hermana es una pelota de fuego,0.002123142,,,,,,,0.00234192,primo,,,,,,,,
,,,,mi hermano,0.002123142,,,,,,,0.00234192,que cosa? ,no contesto,,,,,,,
,,,,mike,0.002123142,,,,,,,0.00234192,quemador,,,,,,,,
,,,,mi novio,0.002123142,,,,,,,0.00234192,rafles,,,,,,,,
,,,,mi perro,0.002123142,perro,,,,,,0.00234192,rebota,,,,,,,,
,,,,ni?'o,0.002123142,,,,,,,0.00234192,rojo,,,,,,,,
,,,,no entiendo,0.002123142,,,,,,,0.00234192,rueda,,,,,,,,
,,,,no se,0.002123142,,,,,,,0.00234192,sin respuesta,,,,,,,,
,,,,novio,0.002123142,,,,,,,0.00234192,sofa,,,,,,,,
,,,,ocmitrix,0.002123142,,,,,,,0.00234192,son tantas,,,,,,,,
,,,,ocnitrics,0.002123142,,,,,,,0.00234192,tiempo,,,,,,,,
,,,,omnitrix,0.002123142,,,,,,,0.00234192,tiene,,,,,,,,
,,,,oro,0.002123142,,,,,,,0.00234192,tiene esa,,,,,,,,
,,,,padre,0.002123142,papa,,,,,,0.00234192,tiene unas,,,,,,,,
,,,,pajaro,0.002123142,,,,,,,0.00234192,una fruga,,,,,,,,
,,,,pan8n,0.002123142,,,,,,,0.00234192,vapor,,,,,,,,
,,,,pap?Å,0.002123142,papa,,,,,,0.00234192,vecino de pelo rojo,vecino,,,,,,,
,,,,parque,0.002123142,,,,,,,0.00234192,vestido,,,,,,,,
,,,,patio,0.002123142,,,,,,,0.00234192,viento,,,,,,,,
,,,,peligro,0.002123142,,,,,,,0.00234192,yeimi,,,,,,,,
,,,,planeta jupiter,0.002123142,,,,,,,0.00234192,NA,,,,,,,,
,,,,poeta,0.002123142,,,,,,,,,,,,,,,,
,,,,profesor,0.002123142,,,,,,,,,,,,,,,,
,,,,que,0.002123142,,,,,,,,,,,,,,,,
,,,,que esta en llamas,0.002123142,,,,,,,,,,,,,,,,
,,,,qwe,0.002123142,,,,,,,,,,,,,,,,
,,,,rojo,0.002123142,,,,,,,,,,,,,,,,
,,,,sarten,0.002123142,,,,,,,,,,,,,,,,
,,,,ser humano,0.002123142,,,,,,,,,,,,,,,,
,,,,siempre,0.002123142,,,,,,,,,,,,,,,,
,,,,silencio,0.002123142,,,,,,,,,,,,,,,,
,,,,tempano de la fria soledad,0.002123142,,,,,,,,,,,,,,,,
,,,,una bruja,0.002123142,,,,,,,,,,,,,,,,
,,,,un balon,0.002123142,balon,,,,,,,,,,,,,,,
,,,,un fenix especial,0.002123142,,,,,,,,,,,,,,,,
,,,,universo,0.002123142,,,,,,,,,,,,,,,,
,,,,vesino,0.002123142,,,,,,,,,,,,,,,,
,,,,viento,0.002123142,,,,,,,,,,,,,,,,
,,,,volley,0.002123142,,,,,,,,,,,,,,,,
,,,,yo,0.002123142,,,,,,,,,,,,,,,,
,,,,,0.002123142,,,,,,,,,,,,,,,,
,,,,,0.007042254,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Se marca con color similar todos los elementos que se estan agrupando y se coloca en la columna derecha los campos semanticos con que se estan agrupando,,,,,,,,,,,,,,,,,,,,
,Se marca con color amarillo los elementos que no se agrupan con ningun otro de la lista,,,,,,,,,,,,,,,,,,,,
